Label,Channel,Mean,Median,Std,Variance,Max,Min,RMS,PeakToPeak,Energy,Range,CoeffVariation,Skewness,Kurtosis
0,AF1,-0.0031484375000000453,-0.02,4.3939380286755645,19.30669139984131,10.722,-13.692,4.393939156667966,24.414,4942.515536,24.414,1395.1500954298986,-0.33417909505042503,0.21299512644528562
0,AF2,1.8984257812499998,2.268,4.832685267315582,23.35484689292908,11.546,-11.892,5.19219292205555,23.438,6901.470039,23.438,2.5456263654969877,-0.4125123330012468,-0.3373880892719252
0,AF7,-0.23649609375000025,-0.549,6.892217698583834,47.502664804672236,18.25,-14.954,6.896274008987117,33.204,12175.000372999999,33.204,29.142927675337774,0.24600097012851205,-0.4906713001256482
0,AF8,3.230375,3.4690000000000003,7.484912748426831,56.023918851562506,20.315,-16.307,8.152253767651464,36.622,17013.565822,36.622,2.3170407248031903,-0.0882988426370887,-0.4744333080327898
0,AFZ,8.5105859375,8.27,7.493048762569194,56.14577975823974,24.384,-5.89,11.339129276880676,30.274,32915.418306,30.274,0.8804385429109184,0.1284278840536816,-0.9549006526897741
0,C1,-9.992640625,-9.674,6.041703907444043,36.50218610522462,3.51,-27.252,11.677116628929635,30.762,34906.893508,30.762,0.6046152893473795,0.006487782417039076,-0.6505327650381911
0,C2,-8.96959375,-9.725,6.400504362374377,40.966456092773434,9.318,-25.838,11.019077462873764,35.156,31083.537441999997,35.156,0.7135778751179788,0.2995742126028787,0.17921169831772055
0,C3,-3.7021953125,-4.517,4.499951328831571,20.249561961853026,7.69,-13.794,5.827161581228892,21.484,8692.687896,21.484,1.2154815544594575,0.3918183815624114,-0.6202870181993321
0,C4,-4.6335703125,-5.107,6.87425260731075,47.25534890911865,17.843,-22.685,8.290073748164126,40.528,17593.682624,40.528,1.4835754418554123,0.30210766078937445,0.6807459812203716
0,C5,-1.35676171875,-2.207,5.752811392343599,33.09483891587829,11.464,-15.391,5.910637975493318,26.855,8943.524167,26.855,4.240101318264203,0.36792054167537397,-0.5207871747716144
0,C6,-10.194113281249999,-10.335,7.872050438625321,61.969178108261104,16.764,-31.576,12.87979517303046,48.34,42467.615667,48.34,0.7722152431726568,0.3587473375914261,0.6469905720993543
0,CP1,-8.887625000000002,-9.267,6.681066875413686,44.636654593749995,3.916,-20.009,11.118746904861853,23.925,31648.392380000005,23.925,0.7517268250727118,0.13965672894842387,-1.2303790329204398
0,CP2,-6.265636718750001,-6.2255,5.183359977194617,26.867220653182983,5.737,-18.677,8.131754063209932,24.414,16928.108580999997,24.414,0.8272677435025243,-0.05882199100298323,-0.7574191865760254
0,CP3,-5.6998203125,-7.029,5.952962723422884,35.4377651864624,6.643,-16.795,8.241705938775661,23.438000000000002,17388.983496,23.438000000000002,1.0444121661090904,0.3555159499306064,-1.0602849907741232
0,CP4,-5.1295234375000005,-5.686,6.022049547243088,36.26508074945068,12.868,-18.87,7.910568338957226,31.738,16019.73541,31.738,1.173997632844514,0.38702836967398985,0.07434885778350386
0,CP5,-1.9366328125,-2.696,5.913281293346008,34.96689565423584,13.418,-13.926,6.222334152445326,27.344,9911.665229999999,27.344,3.053381209797507,0.3320097699826444,-0.6600458490197925
0,CP6,-3.1019921875,-3.55,6.843802200709702,46.837628562438965,17.934,-17.222,7.513985899224858,35.156000000000006,14453.755927999999,35.156000000000006,2.206259584414288,0.604883135010446,0.4459411157387767
0,CPZ,-8.32491796875,-7.9245,5.131072425854523,26.32790423936462,0.132,-18.911,9.779169874062996,19.043000000000003,24481.833837000002,19.043000000000003,0.6163510353813043,-0.1994839969216903,-1.197550263090125
0,CZ,9.279898437499998,8.952,7.803804293960417,60.89936145843505,34.342,-11.068,12.125010369840927,45.41,37636.064376,45.41,0.8409362996354581,0.2750376077565762,0.12319563039165393
0,F1,-4.88665625,-5.005,3.8273763776931364,14.648809936523435,6.226,-14.771,6.207110377799601,20.997,9863.224126000001,20.997,0.7832299631190905,0.47394990491576167,0.21961724502518543
0,F2,-1.46990625,-0.936,3.6521673775596506,13.338326553710935,5.9,-12.166,3.93687070368078,18.066000000000003,3967.73144,18.066000000000003,2.4846243717483882,-0.5143483271163359,-0.18227742797172253
0,F3,-2.4280703125000005,-2.777,4.607455680374869,21.22864784661865,10.406,-13.519,5.208087296605396,23.925,6943.788362,23.925,1.8975784016948505,0.22500100799245726,-0.12146290943839988
0,F4,-1.46613671875,-0.9665,4.399776818831466,19.358036055526732,7.579,-14.882,4.637627942557892,22.461,5505.943791,22.461,3.0009301053809794,-0.50836920074341,-0.025010699820119164
0,F5,-1.9245468749999999,-1.862,5.956398485635236,35.47868291967774,12.787,-16.022,6.259597718204422,28.808999999999997,10030.736280000001,28.808999999999997,3.094959893182827,0.03987227848490185,-0.4735215081605655
0,F6,0.7763124999999997,1.068,5.5673554282840385,30.995446464843752,14.252,-13.58,5.62121940174016,27.832,8089.115536000001,27.832,7.171529837216589,-0.12561799146370856,-0.11400787818828828
0,F7,0.7152968749999999,0.09150000000000001,7.286648580579774,53.09524753686523,19.867,-17.731,7.32167311181331,37.598,13723.365672,37.598,10.186872959156736,0.19266563205121548,-0.4706197612333911
0,F8,3.544515625,3.184,8.221900007548795,67.59963973413088,24.424,-17.08,8.953392136503348,41.504,20521.787072,41.504,2.319611071805537,-0.0005262002698038122,-0.40515611842302324
0,FC1,-3.8115,-4.374,3.1663261020266056,10.025620984375,4.415,-10.722,4.955113846762252,15.137,6285.607228000001,15.137,0.8307294428170439,0.5655541211158227,-0.02971566344922083
0,FC2,-5.528796875000001,-5.575,2.918225826485201,8.516041974365233,1.75,-13.387,6.251690720067252,15.137,10005.411036,15.137,0.5278228454834226,-0.002007127921308919,-0.2806354756506342
